id,winners,losers
NA1_5353607024,"Sett,Viego,Veigar,Senna,Nami","Riven,Zyra,Orianna,Zeri,Soraka"
NA1_5379068599,"Renata,Azir,Poppy,Xayah,XinZhao","Belveth,Varus,Kled,Lux,Thresh"
NA1_5363047516,"Aatrox,Diana,Veigar,Lucian,Rakan","Renekton,Qiyana,Leblanc,Nilah,Taric"
NA1_5371219129,"Riven,Diana,Pantheon,Smolder,Galio","Fiora,Sylas,Akshan,Jinx,Rakan"
NA1_5366399221,"Jinx,Sett,Ekko,Sion,Rakan","KogMaw,Taric,Viego,Xerath,Jhin"
NA1_5371800532,"Mordekaiser,Diana,Ziggs,Lucian,Nami","Rumble,Qiyana,Yone,Draven,Milio"
NA1_5379503387,"Vladimir,XinZhao,Naafiri,Draven,Lux","Aurora,Zed,Quinn,MissFortune,Pyke"
NA1_5379804697,"MissFortune,Hwei,Sett,Lulu,Varus","Rengar,Seraphine,Aphelios,Rumble,Zoe"
NA1_5360201610,"Jhin,Amumu,Jayce,Tristana,Lulu","Nautilus,Shen,Mordekaiser,Brand,Kindred"
NA1_5373415197,"TahmKench,TahmKench,MasterYi,Soraka,Yunara,Milio,Velkoz,Neeko","Kayn,Tristana,Mordekaiser,Neeko,Taliyah,Heimerdinger,Ornn,Smolder"
NA1_5353516822,"Jax,Udyr,Orianna,Ashe,Seraphine","Darius,Talon,Diana,Kaisa,Bard"
NA1_5377924092,"Jax,Udyr,Hwei,Ashe,Maokai","Renekton,Kayn,Ryze,Caitlyn,Zoe"
NA1_5376638304,"Blitzcrank,RekSai,Caitlyn,Rengar,KSante","Darius,Viego,MissFortune,Amumu,Nocturne"
NA1_5373773672,"Khazix,Yorick,Shaco,Briar,Malphite","Ahri,Warwick,XinZhao,KogMaw,Shyvana"
NA1_5361215994,"Urgot,XinZhao,Galio,Ziggs,Bard","Sett,Nilah,Sylas,Sivir,Thresh"
NA1_5373792071,"Zed,Aatrox,Lissandra,Aphelios,TahmKench","Hecarim,Ziggs,Varus,Khazix,MonkeyKing"
NA1_5380060365,"Jax,Gwen,Akshan,Twitch,Bard","Malphite,LeeSin,Pantheon,Jinx,Karma"
NA1_5356529284,"Shen,XinZhao,Zoe,Jinx,Zilean","Jax,Viego,TwistedFate,Sivir,Senna"
NA1_5359357903,"Yasuo,Kayn,Qiyana,Jinx,RekSai","Sion,Taliyah,Viktor,Jhin,Pyke"
NA1_5379314235,"TahmKench,Nami,Samira,Varus,JarvanIV","MissFortune,Hecarim,Brand,KogMaw,Lillia"
NA1_5333583377,"Jayce,Graves,Ahri,KogMaw,Veigar","Ambessa,Ekko,Irelia,Ziggs,Senna"
NA1_5371754374,"Braum,Kindred,Ornn,MissFortune,Jhin","Nautilus,Yuumi,Samira,DrMundo,Ashe"
NA1_5362760251,"Shen,Hecarim,Zoe,Yunara,Sona","Sett,Rengar,Taliyah,Ezreal,Nidalee"
NA1_5377849547,"Ornn,Singed,Jinx,Maokai,Teemo","Urgot,Smolder,Brand,Yasuo,Rakan"
NA1_5378607062,"Ashe,Elise,Thresh,Hecarim,Yasuo,Khazix,Talon,Azir","Kindred,Yone,Sivir,Fizz,TahmKench,Kaisa,RekSai,Smolder"
