id,winners,losers
NA1_5353607024,"Sett_Top,Viego_Jungle,Veigar_Mid,Senna_ADC,Nami_Support","Riven_Top,Zyra_Jungle,Orianna_Mid,Zeri_ADC,Soraka_Support"
NA1_5379068599,"Renata_Top,Azir_Jungle,Poppy_Mid,Xayah_ADC,XinZhao_Support","Belveth_Top,Varus_Jungle,Kled_Mid,Lux_ADC,Thresh_Support"
NA1_5363047516,"Aatrox_Top,Diana_Jungle,Veigar_Mid,Lucian_ADC,Rakan_Support","Renekton_Top,Qiyana_Jungle,Leblanc_Mid,Nilah_ADC,Taric_Support"
NA1_5371219129,"Riven_Top,Diana_Jungle,Pantheon_Mid,Smolder_ADC,Galio_Support","Fiora_Top,Sylas_Jungle,Akshan_Mid,Jinx_ADC,Rakan_Support"
NA1_5366399221,"Jinx_Top,Sett_Jungle,Ekko_Mid,Sion_ADC,Rakan_Support","KogMaw_Top,Taric_Jungle,Viego_Mid,Xerath_ADC,Jhin_Support"
NA1_5371800532,"Mordekaiser_Top,Diana_Jungle,Ziggs_Mid,Lucian_ADC,Nami_Support","Rumble_Top,Qiyana_Jungle,Yone_Mid,Draven_ADC,Milio_Support"
NA1_5379503387,"Vladimir_Top,XinZhao_Jungle,Naafiri_Mid,Draven_ADC,Lux_Support","Aurora_Top,Zed_Jungle,Quinn_Mid,MissFortune_ADC,Pyke_Support"
NA1_5379804697,"MissFortune_Top,Hwei_Jungle,Sett_Mid,Lulu_ADC,Varus_Support","Rengar_Top,Seraphine_Jungle,Aphelios_Mid,Rumble_ADC,Zoe_Support"
NA1_5360201610,"Jhin_Top,Amumu_Jungle,Jayce_Mid,Tristana_ADC,Lulu_Support","Nautilus_Top,Shen_Jungle,Mordekaiser_Mid,Brand_ADC,Kindred_Support"
NA1_5353516822,"Jax_Top,Udyr_Jungle,Orianna_Mid,Ashe_ADC,Seraphine_Support","Darius_Top,Talon_Jungle,Diana_Mid,Kaisa_ADC,Bard_Support"
NA1_5377924092,"Jax_Top,Udyr_Jungle,Hwei_Mid,Ashe_ADC,Maokai_Support","Renekton_Top,Kayn_Jungle,Ryze_Mid,Caitlyn_ADC,Zoe_Support"
NA1_5376638304,"Blitzcrank_Top,RekSai_Jungle,Caitlyn_Mid,Rengar_ADC,KSante_Support","Darius_Top,Viego_Jungle,MissFortune_Mid,Amumu_ADC,Nocturne_Support"
NA1_5373773672,"Khazix_Top,Yorick_Jungle,Shaco_Mid,Briar_ADC,Malphite_Support","Ahri_Top,Warwick_Jungle,XinZhao_Mid,KogMaw_ADC,Shyvana_Support"
NA1_5361215994,"Urgot_Top,XinZhao_Jungle,Galio_Mid,Ziggs_ADC,Bard_Support","Sett_Top,Nilah_Jungle,Sylas_Mid,Sivir_ADC,Thresh_Support"
NA1_5373792071,"Zed_Top,Aatrox_Jungle,Lissandra_Mid,Aphelios_ADC,TahmKench_Support","Hecarim_Top,Ziggs_Jungle,Varus_Mid,Khazix_ADC,MonkeyKing_Support"
NA1_5380060365,"Jax_Top,Gwen_Jungle,Akshan_Mid,Twitch_ADC,Bard_Support","Malphite_Top,LeeSin_Jungle,Pantheon_Mid,Jinx_ADC,Karma_Support"
NA1_5356529284,"Shen_Top,XinZhao_Jungle,Zoe_Mid,Jinx_ADC,Zilean_Support","Jax_Top,Viego_Jungle,TwistedFate_Mid,Sivir_ADC,Senna_Support"
NA1_5359357903,"Yasuo_Top,Kayn_Jungle,Qiyana_Mid,Jinx_ADC,RekSai_Support","Sion_Top,Taliyah_Jungle,Viktor_Mid,Jhin_ADC,Pyke_Support"
NA1_5379314235,"TahmKench_Top,Nami_Jungle,Samira_Mid,Varus_ADC,JarvanIV_Support","MissFortune_Top,Hecarim_Jungle,Brand_Mid,KogMaw_ADC,Lillia_Support"
NA1_5333583377,"Jayce_Top,Graves_Jungle,Ahri_Mid,KogMaw_ADC,Veigar_Support","Ambessa_Top,Ekko_Jungle,Irelia_Mid,Ziggs_ADC,Senna_Support"
NA1_5371754374,"Braum_Top,Kindred_Jungle,Ornn_Mid,MissFortune_ADC,Jhin_Support","Nautilus_Top,Yuumi_Jungle,Samira_Mid,DrMundo_ADC,Ashe_Support"
NA1_5362760251,"Shen_Top,Hecarim_Jungle,Zoe_Mid,Yunara_ADC,Sona_Support","Sett_Top,Rengar_Jungle,Taliyah_Mid,Ezreal_ADC,Nidalee_Support"
NA1_5377849547,"Ornn_Top,Singed_Jungle,Jinx_Mid,Maokai_ADC,Teemo_Support","Urgot_Top,Smolder_Jungle,Brand_Mid,Yasuo_ADC,Rakan_Support"
NA1_5379385077,"Sion_Top,Vi_Jungle,Orianna_Mid,Ezreal_ADC,Morgana_Support","Jayce_Top,LeeSin_Jungle,TwistedFate_Mid,KogMaw_ADC,Lulu_Support"
NA1_5371459024,"Chogath_Top,Sylas_Jungle,Smolder_Mid,Nilah_ADC,Taric_Support","Aatrox_Top,Nunu_Jungle,Syndra_Mid,Samira_ADC,Blitzcrank_Support"
NA1_5380213349,"Aatrox_Top,Khazix_Jungle,Seraphine_Mid,Sivir_ADC,Pyke_Support","Renekton_Top,Teemo_Jungle,Lux_Mid,Ezreal_ADC,Ivern_Support"
NA1_5374651888,"Aatrox_Top,Graves_Jungle,Lissandra_Mid,Senna_ADC,Rell_Support","Shen_Top,MasterYi_Jungle,Leblanc_Mid,Aphelios_ADC,Lulu_Support"
NA1_5379436034,"Gangplank_Top,Zed_Jungle,Veigar_Mid,Smolder_ADC,Sona_Support","Garen_Top,Diana_Jungle,Malzahar_Mid,Draven_ADC,Nautilus_Support"
NA1_5380322405,"Darius_Top,Diana_Jungle,Viktor_Mid,Twitch_ADC,Milio_Support","KSante_Top,Viego_Jungle,Zyra_Mid,Ashe_ADC,Bard_Support"
NA1_5379135866,"Akali_Top,Rammus_Jungle,Morgana_Mid,Jhin_ADC,TahmKench_Support","Irelia_Top,Talon_Jungle,Ryze_Mid,Draven_ADC,Maokai_Support"
NA1_5372237626,"Garen_Top,Taliyah_Jungle,Syndra_Mid,Samira_ADC,Blitzcrank_Support","Ornn_Top,MonkeyKing_Jungle,Zoe_Mid,Draven_ADC,Alistar_Support"
NA1_5374985100,"Urgot_Top,RekSai_Jungle,Hwei_Mid,Jhin_ADC,Soraka_Support","Cassiopeia_Top,Talon_Jungle,Diana_Mid,Lucian_ADC,Nami_Support"
NA1_5355429670,"Karma_Top,Malphite_Jungle,Poppy_Mid,XinZhao_ADC,Maokai_Support","MasterYi_Top,Viktor_Jungle,Blitzcrank_Mid,Senna_ADC,Quinn_Support"
NA1_5334007084,"Tryndamere_Top,Pantheon_Jungle,Kennen_Mid,KogMaw_ADC,Soraka_Support","Zilean_Top,Shen_Jungle,Orianna_Mid,Kaisa_ADC,Nautilus_Support"
NA1_5380028250,"Sett_Top,LeeSin_Jungle,Ahri_Mid,Vayne_ADC,Janna_Support","Shen_Top,Sejuani_Jungle,Velkoz_Mid,Aphelios_ADC,Zilean_Support"
